,TMF
0,0.037026647966339414
1,0.05660377358490566
2,0.03328402366863906
3,0.058823529411764705
4,0.02702059278657303
5,0.027102330293819657
6,0.028604118993135013
7,0.037026647966339414
8,0.03542455381287182
9,0.028604118993135013
10,0.053763440860215055
11,0.03436426116838488
12,0.03459119496855346
13,0.0336417157275021
14,0.06451612903225806
15,0.0387243735763098
16,0.0224517287831163
17,0.03542455381287182
18,0.021269412559081703
19,0.02207214626914841
20,0.032329988851727984
21,0.037026647966339414
22,0.037026647966339414
23,0.03542455381287182
24,0.037026647966339414
25,0.0374085684430512
26,0.02702059278657303
27,0.037026647966339414
28,0.03542455381287182
29,0.0374085684430512
30,0.023809523809523808
31,0.033054003724394786
32,0.0374085684430512
33,0.08108108108108109
34,0.0387243735763098
35,0.125
36,0.028604118993135013
37,0.0374085684430512
38,0.0336417157275021
39,0.07142857142857142
40,0.028604118993135013
41,0.028604118993135013
42,0.0387243735763098
43,0.028604118993135013
44,0.028604118993135013
45,0.07246376811594203
46,0.034261241970021415
47,0.06451612903225806
48,0.02562225475841874
49,0.039603960396039604
50,0.028604118993135013
51,0.03861003861003861
52,0.02702059278657303
53,0.037396121883656507
54,0.0291005291005291
55,0.028604118993135013
56,0.042071197411003236
57,0.0374085684430512
58,0.0374085684430512
59,0.03542455381287182
60,0.0387243735763098
61,0.037026647966339414
62,0.044
63,0.033004423273222186
64,0.028604118993135013
65,0.0387243735763098
66,0.0262582056892779
67,0.037026647966339414
68,0.043478260869565216
69,0.028079132099553285
70,0.026385224274406333
71,0.03125
72,0.027102330293819657
73,0.0374085684430512
74,0.0291005291005291
75,0.03542455381287182
76,0.033054003724394786
77,0.05263157894736842
78,0.037037037037037035
79,0.02702059278657303
80,0.026385224274406333
81,0.028604118993135013
82,0.025906735751295335
83,0.03542455381287182
84,0.028604118993135013
85,0.13636363636363635
86,0.028604118993135013
87,0.05660377358490566
88,0.05263157894736842
89,0.0374085684430512
90,0.03908045977011494
91,0.0374085684430512
92,0.02631578947368421
93,0.037026647966339414
94,0.03542455381287182
95,0.03571428571428571
96,0.028604118993135013
97,0.024655963302752295
98,0.0374085684430512
99,0.0374085684430512
100,0.02657689581856839
101,0.037026647966339414
102,0.028604118993135013
103,0.0336417157275021
104,0.0374085684430512
105,0.02363405336721728
106,0.05752212389380531
107,0.029150823827629912
108,0.037026647966339414
109,0.0374085684430512
110,0.0336417157275021
111,0.0374085684430512
112,0.058823529411764705
113,0.1
114,0.039603960396039604
115,0.06557377049180328
116,0.0374085684430512
117,0.0392156862745098
118,0.044
119,0.037026647966339414
120,0.04395604395604396
121,0.04081632653061224
122,0.03542455381287182
123,0.020552449852022363
124,0.0387243735763098
125,0.13636363636363635
126,0.06666666666666667
127,0.0387243735763098
128,0.03542455381287182
129,0.0387243735763098
130,0.05405405405405406
131,0.023094688221709007
132,0.037026647966339414
133,0.0374085684430512
134,0.022075862910110988
135,0.042071197411003236
136,0.04201680672268908
137,0.02702059278657303
138,0.15384615384615385
139,0.03542455381287182
140,0.043010752688172046
141,0.033136094674556214
142,0.03908045977011494
143,0.05263157894736842
144,0.037396121883656507
145,0.04716981132075472
146,0.05945945945945946
147,0.03773584905660377
148,0.0374085684430512
149,0.033054003724394786
150,0.037026647966339414
151,0.03542455381287182
152,0.037026647966339414
153,0.028604118993135013
154,0.034869240348692404
155,0.020938946440379105
156,0.05
157,0.027102330293819657
158,0.04716981132075472
159,0.0336417157275021
160,0.029922779922779922
161,0.028604118993135013
162,0.02541371158392435
163,0.05128205128205128
164,0.037026647966339414
165,0.04878048780487805
166,0.05555555555555555
167,0.042071197411003236
168,0.03908045977011494
169,0.053763440860215055
170,0.029922779922779922
171,0.01985062893081761
172,0.04838709677419355
173,0.03862660944206009
174,0.028604118993135013
175,0.034261241970021415
