,Degsim
0,0.537958636662742
1,0.4812606846913871
2,0.4655311884574357
3,0.3571578176871463
4,0.4606658284705863
5,0.5653864288609165
6,0.6219885944355059
7,0.5193038496709306
8,0.22296436375204748
9,0.5322294177790041
10,0.42015188742975196
11,0.40371916888380943
12,0.5674078272120887
13,0.419001484051474
14,0.4773650856365698
15,0.4980937731371432
16,0.45948353970747047
17,0.599815219186335
18,0.26715846675339966
19,0.3874250493101461
20,0.4776802493302016
21,0.5147340131833098
22,0.47859205048504777
23,0.40552548461239873
24,0.41757464691280866
25,0.5839344406396185
26,0.33541277729234154
27,0.4248304232576027
28,0.378847664762831
29,0.3190922836978189
30,0.25771738490912344
31,0.5010317360312581
32,0.5432150585585882
33,0.3716716999866153
34,0.47795570341744176
35,0.2958010495219101
36,0.5290596899652295
37,0.360605135959638
38,0.5160616421889761
39,0.5010574674165704
40,0.4232447265453147
41,0.5466892215608108
42,0.5363377636228128
43,0.5278750041039553
44,0.472908556591647
45,0.39021364337150866
46,0.5658173282923361
47,0.3880707674821483
48,0.4059276584908038
49,0.31754050490257646
50,0.32112038728722164
51,0.3720414523852824
52,0.37475791972013034
53,0.5062604253660645
54,0.39218076492482945
55,0.5606045438571204
56,0.48671512397803596
57,0.45137861571119214
58,0.6270281112558055
59,0.5690409228406043
60,0.5063373518128109
61,0.5290384208038683
62,0.48118806673583603
63,0.5559464674824403
64,0.42853858499120256
65,0.5159235378010774
66,0.36228162830142885
67,0.48311634089208233
68,0.4139108120799563
69,0.5168641755955792
70,0.33645172182868344
71,0.4951036554766236
72,0.4012967461976695
73,0.4829490996869941
74,0.4216646401030058
75,0.35751497386181696
76,0.4426870402883032
77,0.3012516584496515
78,0.41974879814332705
79,0.2740903469922082
80,0.416591844964968
81,0.4920605961178842
82,0.46840181703830697
83,0.4053216831004519
84,0.5923774257878811
85,0.3914908277393823
86,0.4996826763775843
87,0.37341631596904834
88,0.3754440174129614
89,0.5636737947863276
90,0.4719729654554901
91,0.6087947276458561
92,0.3577575522552266
93,0.6068623068732836
94,0.5630348436348807
95,0.4408786261010227
96,0.4395591123947916
97,0.3015021826599714
98,0.4717513697422002
99,0.5664387760478476
100,0.5021427220367068
101,0.5127778100127415
102,0.3913569071201079
103,0.5457437616407798
104,0.594062447285468
105,0.3635839841047989
106,0.5312216962657844
107,0.4200502893883454
108,0.5889064673226369
109,0.40200481922443776
110,0.5774450561263235
111,0.6024078373691768
112,0.4068055714836012
113,0.3895587864337049
114,0.4068745325500025
115,0.4307673628328391
116,0.45487249349473313
117,0.3831464218874659
118,0.4167877044318796
119,0.47500503824692153
120,0.37235229020525284
121,0.3179600696047617
122,0.3808949311155008
123,0.3634225013793055
124,0.45800334926311886
125,0.49235272908813804
126,0.39367320065135514
127,0.5131540895099429
128,0.5199494352246519
129,0.5635888922229926
130,0.45105320699901
131,0.3059182100172416
132,0.514270888322209
133,0.49887895887646116
134,0.33472942132929695
135,0.44403514600032884
136,0.4250843395862834
137,0.3615554144696401
138,0.33022541322704857
139,0.5076279631221852
140,0.5647806372151076
141,0.2525321694354211
142,0.5473194799759808
143,0.4850591091590446
144,0.5040965741704897
145,0.5362152983923748
146,0.47207262771791686
147,0.413954102775626
148,0.5617520814329164
149,0.4431931695265168
150,0.5997346558339509
151,0.40350555096868296
152,0.33450620024666045
153,0.3622120729935843
154,0.4873649548528543
155,0.33851700255845024
156,0.4197745774295839
157,0.47845422146452316
158,0.46586234696275486
159,0.4137459164700174
160,0.3735021003746227
161,0.37316413060180714
162,0.3623267974171788
163,0.5032214070623228
164,0.2737731123796948
165,0.5029938058423717
166,0.2503811879680607
167,0.5305353261339485
168,0.31444628161865384
169,0.5052687179970011
170,0.594630158623339
171,0.2237174802644415
172,0.5701889157306194
173,0.42070969780350376
174,0.37410208604824413
175,0.4572162756321517
176,0.4750250812895608
177,0.583095163582597
178,0.5412257855733414
179,0.33433076448217103
180,0.5270618115805591
181,0.36245442207089484
182,0.34106316480826193
183,0.5243810703039992
184,0.33665918982069826
185,0.3468526846243578
186,0.3813878514117649
187,0.458836275539838
188,0.49507837975991453
189,0.5143001022887091
190,0.5386487436265169
191,0.3906204296008487
192,0.35052502146433806
193,0.615904449356435
194,0.26658870896269793
195,0.2808414947863334
196,0.5527196042779157
197,0.544083968499945
198,0.4181630020929193
199,0.5519670986832848
200,0.5613262210596349
201,0.2591767140442602
202,0.4497504195573844
203,0.41932028919836306
204,0.5397065700702013
205,0.536016953637461
206,0.49808081280003175
207,0.3455345686480741
208,0.37350231125617883
209,0.4993239881127157
210,0.2564575249342211
211,0.29762430592494216
212,0.47468212958773426
213,0.4721676152807593
214,0.4950673474456709
215,0.48978189888958423
216,0.5066433535994899
